targetLot,lot,vin,vehicle,price,date,miles,damage,title,condition,location,engine,drive,status,reserveMet,included,flags,source,checkedAt
"54713756","64121046","3KPF24AD8ME348915","kia forte 2021 LXS","3700","2026-09-14","59379","Rear end","Salvage","Run & drive","Houston East, TX","","","Sold","Yes","false","titleDifferent","https://finalbid.vin/en/kia/forte/2021/copart-64121046-3KPF24AD8ME348915","2026-09-14"
"54713756","61366406","3KPF24AD1ME337450","kia forte 2021 LXS","3550","2026-09-11","83938","Top/roof + Side","Salvage","Run & drive","Des Moines, IA","","","Sold","Yes","false","titleDifferent; mileageGap","https://finalbid.vin/en/kia/forte/2021/copart-61366406-3KPF24AD1ME337450","2026-09-14"
"54713756","66759386","3KPF24AD3ME273539","kia forte 2021 LXS","3650","2026-09-14","33091","Rear end","Salvage","Run & drive","Philadelphia East-Sublot, PA","","","Sold","Yes","false","titleDifferent","https://finalbid.vin/en/kia/forte/2021/copart-66759386-3KPF24AD3ME273539","2026-09-14"
"73342175","52937016","JTDB4MEE6P3010694","toyota corolla 2023 LE","5200","2026-09-11","33767","Front end","Salvage","미표시","San Diego, CA","","","Sold","No","false","statusConflict; runningUnknown","https://finalbid.vin/en/toyota/corolla/2023/copart-52937016-JTDB4MEE6P3010694","2026-09-14"
"73342175","47973826","JTDB4MEE4PJ010253","toyota corolla 2023 LE","4800","2026-09-11","39776","Rear end","Salvage","Run & drive","North Boston, MA","","","Sold","No","false","statusConflict; odometer","https://finalbid.vin/en/toyota/corolla/2023/copart-47973826-JTDB4MEE4PJ010253","2026-09-14"
"73342175","60124366","5YFB4MDE6PP067258","toyota corolla 2023 LE","5800","2026-09-10","47367","Side","Salvage","Run & drive","Houston East, TX","","","Sold","No","false","statusConflict","https://finalbid.vin/en/toyota/corolla/2023/copart-60124366-5YFB4MDE6PP067258","2026-09-14"
"66458476","65743046","2T1BURHE9FC461424","toyota corolla 2015 S Plus","2250","2026-09-11","98622","Top/roof + Rear end","Salvage","Enhanced","Chicago South, IL","","","Sold","Yes","false","trimDifferent; runningUnknown","https://finalbid.vin/en/toyota/corolla/2015/copart-65743046-2T1BURHE9FC461424","2026-09-14"
"66458476","53515816","2T1BURHEXFC410742","toyota corolla 2015 S Plus","3200","2026-09-11","112898","Rear end + Side","Salvage","Run & drive","North Boston, MA","","","Sold","No","false","statusConflict; trimDifferent","https://finalbid.vin/en/toyota/corolla/2015/copart-53515816-2T1BURHEXFC410742","2026-09-14"
"66458476","63644426","2T1BURHE4FC260658","toyota corolla 2015 LE","4950","2026-09-11","69833","Rear end + Minor dents","Salvage","Run & drive","Richmond, VA","","","Sold","Yes","true","","https://finalbid.vin/en/toyota/corolla/2015/copart-63644426-2T1BURHE4FC260658","2026-09-14"
"66018206","68352556","KMHD84LF3HU229337","hyundai elantra 2017 Limited","850","2026-09-14","138958","Rear end + Side","Salvage","Run & drive","North Seattle, WA","","","Sold","Yes","true","","https://finalbid.vin/en/hyundai/elantra/2017/copart-68352556-KMHD84LF3HU229337","2026-09-14"
"66018206","65941666","5NPD84LF5HH187672","hyundai elantra 2017 Limited","3550","2026-09-14","78254","Rear end","Salvage","Run & drive","North Seattle, WA","","","Sold","Yes","true","","https://finalbid.vin/en/hyundai/elantra/2017/copart-65941666-5NPD84LF5HH187672","2026-09-14"
"66018206","65510806","KMHD84LF1HU342476","hyundai elantra 2017 Limited","1750","2026-09-14","126283","Rear end","Salvage","Run & drive","Nashville, TN","","","Sold","Yes","true","","https://finalbid.vin/en/hyundai/elantra/2017/copart-65510806-KMHD84LF1HU342476","2026-09-14"
