rank,rankBeforeHistory,id,vehicle,region,vin,seller,status,historyChecked,recalls,recallDetails,nicb,historyFinding,floodHistory,serviceHistory,publicHistorySources,maxBid,roundedTotal
1,1,54713756,2021 Kia Forte LXS,MO,3KPF24AD2ME414651,원본에 미표시,우선 점검,2026-09-14,0,[],"{""theft"": ""일치 기록 없음"", ""totalLoss"": ""우박 전손"", ""lossDate"": ""2026-04-28"", ""cause"": ""Hail""}",NICB: 2026-04-28 우박 전손. 현재 Clean 서류와 보험 전손 이력은 별개입니다.,침수 없음 확정 불가. 공개 자료에서 구체적인 침수 사건 미확인; 전체 보험·DMV 이력은 미조회.,실제 작업 날짜·주행거리·수리 항목이 있는 정비 기록 미확보. 엔진·변속기 교체 여부 미확인.,"[""https://en.bidhistory.org/kia/forte/2021/9bcab51b8770445a-kia-forte-lxs-3kpf24ad2me414651/"", ""https://usacars.bg/pl/car/kia-forte-2021-3kpf24ad2me414651"", ""https://usacars.bg/ru/car/kia-forte-2021-3kpf24ad2me414651""]",5500,10000
2,3,73342175,2023 Toyota Corolla LE,KS,5YFB4MDE6PP046684,미공개,우선 점검,2026-09-14,0,[],"{""theft"": ""일치 기록 없음"", ""totalLoss"": ""일치 기록 없음""}",이번 공개 검색에서 현재 경매 자료와 구별되는 구체적 사고·침수·정비 사건을 확정하지 못했습니다. 이력이 없다는 뜻은 아닙니다.,침수 없음 확정 불가. 공개 자료에서 구체적인 침수 사건 미확인; 전체 보험·DMV 이력은 미조회.,실제 작업 날짜·주행거리·수리 항목이 있는 정비 기록 미확보. 엔진·변속기 교체 여부 미확인.,"[""https://www.salvagereseller.com/cars-for-sale/73342175-2023-toyota-corolla-le-wichita-ks?lang=en"", ""https://plc.ua/auctions/lot/toyota-corolla-2023-vin-5yfb4mde6pp046684-1-73342175/"", ""https://www.salvagereseller.com/cars-for-sale/73342175-2023-toyota-corolla-le-wichita-ks""]",5200,9700
3,4,66458476,2015 Toyota Corolla LE,KS,5YFBURHE7FP238475,미공개,우선 점검,2026-09-14,0,[],"{""theft"": ""일치 기록 없음"", ""totalLoss"": ""우박 전손"", ""lossDate"": ""2026-08-05"", ""cause"": ""Hail""}",NICB: 2026-08-05 우박 전손. 현재 우박 표시와 원인이 일치합니다.,침수 없음 확정 불가. 공개 자료에서 구체적인 침수 사건 미확인; 전체 보험·DMV 이력은 미조회.,실제 작업 날짜·주행거리·수리 항목이 있는 정비 기록 미확보. 엔진·변속기 교체 여부 미확인.,"[""https://en.bidhistory.org/toyota/corolla/2015/b9b46c64517707fa-toyota-corolla-le-5yfburhe7fp238475/"", ""https://usacars.bg/pl/car/toyota-corolla-2015-5yfburhe7fp238475"", ""https://usacars.bg/ru/car/toyota-corolla-2015-5yfburhe7fp238475""]",3500,7800
4,6,66018206,2017 Hyundai Elantra Limited,KS,KMHD84LF7HU289766,USAA,우선 점검,2026-09-14,0,[],"{""status"": ""미조회: 24시간 IP당 5대 제한. 이번 상위 5대만 조회.""}",이번 공개 검색에서 현재 경매 자료와 구별되는 구체적 사고·침수·정비 사건을 확정하지 못했습니다. 이력이 없다는 뜻은 아닙니다.,침수 없음 확정 불가. 공개 자료에서 구체적인 침수 사건 미확인; 전체 보험·DMV 이력은 미조회.,실제 작업 날짜·주행거리·수리 항목이 있는 정비 기록 미확보. 엔진·변속기 교체 여부 미확인.,"[""https://en.bidhistory.org/hyundai/elantra/2017/a71a07f01e73ed4c-hyundai-elantra-limited-kmhd84lf7hu289766/"", ""https://usacars.bg/pl/car/hyundai-elantra-2017-kmhd84lf7hu289766"", ""https://autobidcar.com/car/hyundai-elantra-limited-2017-kmhd84lf7hu289766""]",2800,7100
5,7,67303746,2020 Toyota Corolla LE,KS,5YFEPRAE5LP054002,미공개,우선 점검,2026-09-14,0,[],"{""status"": ""미조회: 24시간 IP당 5대 제한. 이번 상위 5대만 조회.""}",이번 공개 검색에서 현재 경매 자료와 구별되는 구체적 사고·침수·정비 사건을 확정하지 못했습니다. 이력이 없다는 뜻은 아닙니다.,침수 없음 확정 불가. 공개 자료에서 구체적인 침수 사건 미확인; 전체 보험·DMV 이력은 미조회.,실제 작업 날짜·주행거리·수리 항목이 있는 정비 기록 미확보. 엔진·변속기 교체 여부 미확인.,"[""https://en.bidhistory.org/toyota/corolla/2020/39df041d52268922-toyota-corolla-le-5yfeprae5lp054002/"", ""https://en.bidhistory.org/toyota/corolla/2017/3a41f3cf3918f438-toyota-corolla-le-5yfburhe3hp606489/"", ""https://www.salvagereseller.com/cars-for-sale/67303746-2020-toyota-corolla-le-kansas-city-ks""]",4200,8200
6,8,61144086,2020 Toyota Corolla SE,KS,5YFP4RCE6LP053004,미공개,우선 점검,2026-09-14,0,[],"{""status"": ""미조회: 24시간 IP당 5대 제한. 이번 상위 5대만 조회.""}",이번 공개 검색에서 현재 경매 자료와 구별되는 구체적 사고·침수·정비 사건을 확정하지 못했습니다. 이력이 없다는 뜻은 아닙니다.,침수 없음 확정 불가. 공개 자료에서 구체적인 침수 사건 미확인; 전체 보험·DMV 이력은 미조회.,실제 작업 날짜·주행거리·수리 항목이 있는 정비 기록 미확보. 엔진·변속기 교체 여부 미확인.,"[""https://en.bidhistory.org/toyota/corolla/2020/77fb65cd45061400-toyota-corolla-se-5yfp4rce6lp053004/"", ""https://usacars.bg/en/car/toyota-corolla-2020-5yfp4rce6lp053004"", ""https://usacars.bg/pl/car/toyota-corolla-2020-5yfp4rce6lp053004""]",5000,9500
7,9,62951896,2021 Nissan Versa SV,MO,3N1CN8EV0ML873437,원본에 미표시,우선 점검,2026-09-14,0,[],"{""status"": ""미조회: 24시간 IP당 5대 제한. 이번 상위 5대만 조회.""}",이번 공개 검색에서 현재 경매 자료와 구별되는 구체적 사고·침수·정비 사건을 확정하지 못했습니다. 이력이 없다는 뜻은 아닙니다.,침수 없음 확정 불가. 공개 자료에서 구체적인 침수 사건 미확인; 전체 보험·DMV 이력은 미조회.,실제 작업 날짜·주행거리·수리 항목이 있는 정비 기록 미확보. 엔진·변속기 교체 여부 미확인.,[],4000,9300
8,10,57882066,2018 Kia Forte S,MO,3KPFL4A70JE249962,원본에 미표시,우선 점검,2026-09-14,0,[],"{""status"": ""미조회: 24시간 IP당 5대 제한. 이번 상위 5대만 조회.""}",이번 공개 검색에서 현재 경매 자료와 구별되는 구체적 사고·침수·정비 사건을 확정하지 못했습니다. 이력이 없다는 뜻은 아닙니다.,침수 없음 확정 불가. 공개 자료에서 구체적인 침수 사건 미확인; 전체 보험·DMV 이력은 미조회.,실제 작업 날짜·주행거리·수리 항목이 있는 정비 기록 미확보. 엔진·변속기 교체 여부 미확인.,[],5000,9800
9,11,66814326,2018 Honda Civic LX,KS,19XFC2F52JE003328,미공개,우선 점검,2026-09-14,0,[],"{""status"": ""미조회: 24시간 IP당 5대 제한. 이번 상위 5대만 조회.""}",이번 공개 검색에서 현재 경매 자료와 구별되는 구체적 사고·침수·정비 사건을 확정하지 못했습니다. 이력이 없다는 뜻은 아닙니다.,침수 없음 확정 불가. 공개 자료에서 구체적인 침수 사건 미확인; 전체 보험·DMV 이력은 미조회.,실제 작업 날짜·주행거리·수리 항목이 있는 정비 기록 미확보. 엔진·변속기 교체 여부 미확인.,"[""https://en.bidhistory.org/honda/civic/2018/e21cca72719056e8-honda-civic-lx-19xfc2f52je003328/"", ""https://usacars.bg/pl/car/honda-civic-2018-19xfc2f52je003328"", ""https://usacars.bg/car/honda-civic-2018-19xfc2f52je003328""]",5500,9700
10,12,67463736,2016 Toyota Corolla S Plus,KS,5YFBURHE7GP515322,GE,우선 점검,2026-09-14,0,[],"{""status"": ""미조회: 24시간 IP당 5대 제한. 이번 상위 5대만 조회.""}",이번 공개 검색에서 현재 경매 자료와 구별되는 구체적 사고·침수·정비 사건을 확정하지 못했습니다. 이력이 없다는 뜻은 아닙니다.,침수 없음 확정 불가. 공개 자료에서 구체적인 침수 사건 미확인; 전체 보험·DMV 이력은 미조회.,실제 작업 날짜·주행거리·수리 항목이 있는 정비 기록 미확보. 엔진·변속기 교체 여부 미확인.,"[""https://en.bidhistory.org/toyota/corolla/2016/cf46e1ea0ffc745b-toyota-corolla-s_plus-5yfburhe7gp515322/"", ""https://usacars.bg/en/car/toyota-corolla-2016-5yfburhe7gp515322"", ""https://usacars.bg/es/car/toyota-corolla-2016-5yfburhe7gp515322""]",2500,6700
11,13,67824346,2017 Toyota Corolla SE,KS,2T1BURHE8HC903368,미공개,우선 점검,2026-09-14,0,[],"{""status"": ""미조회: 24시간 IP당 5대 제한. 이번 상위 5대만 조회.""}",이번 공개 검색에서 현재 경매 자료와 구별되는 구체적 사고·침수·정비 사건을 확정하지 못했습니다. 이력이 없다는 뜻은 아닙니다.,침수 없음 확정 불가. 공개 자료에서 구체적인 침수 사건 미확인; 전체 보험·DMV 이력은 미조회.,실제 작업 날짜·주행거리·수리 항목이 있는 정비 기록 미확보. 엔진·변속기 교체 여부 미확인.,"[""https://en.bidhistory.org/toyota/corolla/2017/06cfb815d32d5576-toyota-corolla-se-2t1burhe8hc903368/"", ""https://www.salvagereseller.com/cars-for-sale/67824346-2017-toyota-corolla-se-kansas-city-ks/0"", ""https://plc.ua/auctions/lot/toyota-corolla-2017-vin-2t1burhe8hc903368-1-67824346/""]",2800,7600
